Name,Tissue,Type,Marker,Nodes,Edges,Density,TotalWeight,AvgWeight,AvgInDegree,AvgOutDegree,MaxInDegree,MaxOutDegree,ZeroOutDegreeCount,DegreeCentralization,DegreeStd,DegreeSkewness,DegreeKurtosis,DegreeHeterogeneity,WeightStd,MeanAbsoluteWeight,MaxAbsoluteWeight,WeightSkewness,WeightKurtosis,WeightQ1,WeightQ3,WeightRange,WeightIQR,WeightMedian,WeightAsymmetry,BranchPoints,LinearNodes,TerminalNodes,Sources,Sinks,BidirectionalEdges,HighFluxEdges,MeanFluxImbalance,MaxFluxImbalance,BalancedNodes,FluxBalanceRatio,DegreeCentralityMax,DegreeCentralityMin,DegreeCentralityMean,DegreeCentralityMedian,DegreeCentralityStd,DegreeCentralitySkewness,DegreeCentralityKurtosis,DegreeCentralityGini,InDegreeCentralityMax,InDegreeCentralityMin,InDegreeCentralityMean,InDegreeCentralityMedian,InDegreeCentralityStd,InDegreeCentralitySkewness,InDegreeCentralityKurtosis,InDegreeCentralityGini,OutDegreeCentralityMax,OutDegreeCentralityMin,OutDegreeCentralityMean,OutDegreeCentralityMedian,OutDegreeCentralityStd,OutDegreeCentralitySkewness,OutDegreeCentralityKurtosis,OutDegreeCentralityGini,BetweennessCentralityMax,BetweennessCentralityMin,BetweennessCentralityMean,BetweennessCentralityMedian,BetweennessCentralityStd,BetweennessCentralitySkewness,BetweennessCentralityKurtosis,BetweennessCentralityGini,ClosenessCentralityMax,ClosenessCentralityMin,ClosenessCentralityMean,ClosenessCentralityMedian,ClosenessCentralityStd,ClosenessCentralitySkewness,ClosenessCentralityKurtosis,ClosenessCentralityGini,PagerankMax,PagerankMin,PagerankMean,PagerankMedian,PagerankStd,PagerankSkewness,PagerankKurtosis,PagerankGini,LoadCentralityMax,LoadCentralityMin,LoadCentralityMean,LoadCentralityMedian,LoadCentralityStd,LoadCentralitySkewness,LoadCentralityKurtosis,LoadCentralityGini,EigenvectorCentralityMax,EigenvectorCentralityMin,EigenvectorCentralityMean,EigenvectorCentralityMedian,EigenvectorCentralityStd,EigenvectorCentralitySkewness,EigenvectorCentralityKurtosis,EigenvectorCentralityGini
Epithelial_Normal_Malignant,Normal,Epithelial,Malignant,4134,40323,0.0023600269275894366,41069.32262598776,1.0185086086349666,9.753991291727141,9.753991291727141,1860,2140,284,0.7354202800427162,101.21783025835747,17.424719600243783,426.5932471093004,27.92088472482996,3.1997402450458057,1.0185086086349668,27.9654521941267,5.672165353394733,35.83763321481692,0.0005616157690083,0.546369512163536,27.965441999293006,0.5458078963945278,0.0599657957967825,3.461324559561469,2353,104,347,63,284,1352,2060,318.4353851611509,323614.61280737957,568,0.1373971940009676,0.740140333897895,0.00024195499637067505,0.004720053855178873,0.0012097749818533753,0.024490159752808487,17.42471960024378,426.5932471093002,0.7728523354368242,0.4500362932494556,0.0,0.002360026927589436,0.0004839099927413501,0.013834190935457989,16.66806535962087,385.76238960130024,0.7900729967870358,0.5177836922332446,0.0,0.002360026927589436,0.0004839099927413501,0.01616091696835753,19.66927279218375,506.3317949777909,0.8091732254305795,0.6108939807857967,0.0,0.0015666850897434572,5.463311026472406e-05,0.014380607022117884,28.33992328229863,1045.0844760754762,0.9352693593936446,2.516031542255624,0.0,0.5317482338328876,0.6322674011808014,0.21221613721426405,-0.8270435313225168,1.7961136547606817,0.20771498747955394,0.04123020898251545,4.732287879945301e-05,0.00024189646831156261,8.19302947270536e-05,0.001025086197602619,21.34815802353259,692.7739142098955,0.6738309820055894,0.6194947908068852,0.0,0.0019403052016688193,0.00020734817089752188,0.01527867751544863,23.785928952033462,781.0257881927029,0.9255168130724959,0.8307114942264693,-1.3838483493828393e-18,0.0010936818531254238,3.2308858302069266e-07,0.01694072897028017,40.04424384043567,1820.559924925865,0.9828223508551528
Epithelial_Tumor_Malignant,Tumor,Epithelial,Malignant,4143,41722,0.0024313086258485133,35551.2335441454,0.852098018890403,10.070480328264543,10.070480328264543,2154,2573,291,0.8198597390978926,111.08666910070313,19.173452720300684,499.0439863468014,31.42030242808836,2.6290627520261,0.852098018890403,22.3481288218573,5.420462779522579,32.67231972112392,0.0005334871324745,0.477546633928026,22.348118557068677,0.4770131467955515,0.0516769209523284,2.988187038468298,2373,104,368,77,291,1445,2316,281.7501827974988,267629.85433877906,553,0.13347815592565773,0.8247223563495896,0.00024142926122646064,0.004862617251697027,0.0012071463061323032,0.02681957245309105,19.173452720300684,499.04398634680126,0.7797419971968751,0.5200386286817962,0.0,0.002431308625848513,0.0004828585224529213,0.015149085272550886,18.738180871681042,477.3396389473458,0.7961083582523047,0.6211974891356832,0.0,0.002431308625848513,0.0004828585224529213,0.017790062686334974,22.76971801550088,673.0908155199273,0.8153892731104792,0.6398083384111918,0.0,0.001885241776383419,3.766319795998396e-05,0.017104774636808307,22.770304891325125,683.361078643063,0.9439095985330566,2.772518923421,0.0,0.6645093204349865,0.7884397657795564,0.2649228332258291,-1.0004378525752944,1.0369625010522334,0.20621959537372828,0.04019939406359939,4.779631893953766e-05,0.0002413709872073377,8.248047841000043e-05,0.0010052823509165477,21.156302256302943,680.7779569812649,0.6749408521161833,0.6088881217972815,0.0,0.0022533957586928196,0.00020627305631954062,0.017902223060750923,20.45566001190258,549.4303093844942,0.9317900491322804,0.7443217127778803,-8.756210847059581e-21,0.0014786825466218765,1.038005884919297e-06,0.01695089660537073,31.79425520394593,1232.7801505441473,0.9728002050403189
Fibroblast_Normal_CD73+,Normal,Fibroblast,CD73+,3740,35633,0.002548151940880415,31449.885168054705,0.8826055950398424,9.527540106951871,9.527540106951871,1909,2317,278,0.8119670820503065,103.21979126318763,18.413959159140767,460.94971747791567,30.342991670285926,2.761880273180137,0.8826055950398424,22.3642084926913,4.601713368267195,23.653828074770132,7.40664259952855e-05,0.128999524300357,22.364207190003327,0.12892545787436172,0.0373144824649092,3.085720183612235,2093,121,359,81,278,1111,2873,165.4806725564644,69214.94717188516,494,0.1320855614973262,0.8170633859320673,0.0002674511901577962,0.00509630388176083,0.0013372559507889808,0.027606256021178822,18.413959159140763,460.9497174779156,0.7708945367142245,0.5105643220112329,0.0,0.002548151940880415,0.0005349023803155924,0.015337373085402218,17.761582410235796,438.3825934352713,0.7871525913835503,0.6196844075956137,0.0,0.0025481519408804146,0.0005349023803155924,0.018358883499297905,21.48843686650843,606.6787134690061,0.809546016573293,0.5538459960176073,0.0,0.0017147842689966067,7.283855139873603e-06,0.014017588260761436,25.04846734844838,828.2229435848818,0.9283840418511814,2.7201957962267524,0.0,0.5890889823380073,0.7025917520744447,0.22486794131207008,-1.1247168235050278,2.738956015707743,0.186707199526374,0.04238944678484439,5.485228585527379e-05,0.00026737967914438503,9.146187632383801e-05,0.0010995730880226018,21.23091209379319,666.965263966237,0.6637603336277655,0.5961101494809251,0.0,0.0022661859711267207,0.0002251655685999424,0.01593798925402676,21.497735002211684,649.27989930103,0.9225297977693518,0.6118920488559904,-3.6935876172480135e-21,0.0019340549336494697,3.525312186593246e-06,0.01797675300431161,21.92239768225045,590.9939262364893,0.9620448000749185
Fibroblast_Normal_DES+,Normal,Fibroblast,DES+,3407,32961,0.0028404268025434146,24831.59732151573,0.7533629841787485,9.67449368946287,9.67449368946287,1716,2087,233,0.8117002385851656,99.12383418568318,17.148960172108456,401.8896812145012,27.244584556138097,2.3219364637669115,0.7533629841787484,18.5941046728306,4.743419936505978,25.281962268540358,0.0001127306841134,0.213726790985281,18.59409525780538,0.21361406030116759,0.0436691073788013,2.6193660937009273,1973,92,299,66,233,1074,2568,139.80922643378696,55871.573056731264,413,0.1212210155562078,0.8173810921902525,0.0002935995302407516,0.005680853605086829,0.001467997651203758,0.02910271115257873,17.14896017210846,401.88968121450125,0.7685719192805416,0.5038167938931297,0.0,0.0028404268025434146,0.0005871990604815032,0.016158190559020843,16.347475907836444,373.26249492742585,0.7889861422176699,0.6127422196124486,0.0,0.0028404268025434146,0.0005871990604815032,0.019593493991986663,19.847469005060024,513.6060092935703,0.8047671356085933,0.627193655787916,0.0,0.002274673061915718,7.1395128058544e-05,0.01794099385915285,21.839698471653485,633.4800395288391,0.935085862487041,3.2119032597818897,0.0,0.7380666663103007,0.848426052868168,0.2743662285914316,-1.1008808854680139,2.5692633783505667,0.18707017535710654,0.04334359858351517,5.7785277355132e-05,0.000293513354857646,0.00010262930614159181,0.0011648654936256258,20.645206417393847,630.4398975391686,0.659733185841278,0.6133797028019713,0.0,0.002742164223147312,0.00025850554821197453,0.019339507711845796,18.261654433853064,448.1440984666211,0.9229769168688157,0.6148087262650462,-8.944051931943001e-22,0.0020030213342374227,4.782367519619191e-06,0.018374837218551047,21.640059359575524,575.9101687028813,0.9603354048113958
Fibroblast_Normal_FAP+,Normal,Fibroblast,FAP+,3843,36331,0.0024606486532908053,24955.536094499173,0.686893729721152,9.453812125943273,9.453812125943273,1975,2353,280,0.8063749025893059,103.74030082244087,18.881512959870243,481.71025521579304,31.103783357572453,2.2404388769216728,0.686893729721152,18.625971341979,4.91982485293384,27.181699476686447,0.0001118609894689,0.11788443094985,18.625957458049104,0.1177725699603811,0.0360348222334829,2.457238524044623,2158,116,345,65,280,1126,2620,125.09426844209507,50874.75059914122,467,0.12151964610981004,0.8112961998958875,0.0002602811035918792,0.00492129730658161,0.0013014055179593961,0.027001639985018446,18.881512959870257,481.7102552157931,0.7698090860643186,0.5140551795939615,0.0,0.0024606486532908053,0.0005205622071837585,0.015141076621945767,18.383087210553324,467.0995032256841,0.7864006592807493,0.6124414367516918,0.0,0.0024606486532908053,0.0005205622071837585,0.017934062277659948,22.052291144977012,634.7033358254664,0.8076125866550967,0.5323552491649723,0.0,0.0017867404647435227,0.00012576978085564378,0.014751638838487272,25.849996058932287,848.0859568435004,0.9279141254370928,2.699914313363452,0.0,0.7904592021454504,0.9261289990159799,0.2926541344325909,-1.348557948904883,1.2446534758346592,0.1837747880246243,0.043205881140580146,5.2842433556953244e-05,0.00026021337496747333,8.91199885958042e-05,0.0010869311955461088,22.216294738086273,728.2590649465905,0.6645108110646184,0.5458014908244834,0.0,0.0022393515563746335,0.00022158792208941552,0.016715167951276914,21.686678244321733,613.3332210634553,0.9191766599494269,0.6016289888341633,-6.958216170932223e-20,0.0019032623481194757,3.722608819284649e-06,0.017588821387962365,21.812449205416915,584.6446666252591,0.9615336918412953
Fibroblast_Normal_FGFR2+,Normal,Fibroblast,FGFR2+,3842,36185,0.002452036379451224,24896.566889730933,0.6880355641766183,9.41827173347215,9.41827173347215,1933,2303,253,0.7857754377852266,101.69791154811189,18.532307216878753,468.05611237032383,30.148864716879807,2.210166380600785,0.6880355641766184,18.6002490470254,4.9941851903324075,28.24733535756588,7.66944658374568e-05,0.177825768105344,18.600246709493252,0.17774907363950654,0.0380810583971548,2.5207458362645494,2144,112,334,81,253,1131,2588,133.150790713743,54689.73042028547,463,0.12051015096304009,0.7906795105441292,0.0002603488674824265,0.004904072758902448,0.0013017443374121324,0.026476936096878914,18.532307216878753,468.05611237032383,0.768628441225851,0.5032543608435304,0.0,0.002452036379451224,0.000520697734964853,0.01482472881367227,18.030600682437136,455.38459080648437,0.7869078928581267,0.5995834418120282,0.0,0.002452036379451224,0.000520697734964853,0.017591054210328548,21.590843728159456,612.3066878103198,0.8056403350328869,0.4976994785590544,0.0,0.0019195532612881015,0.00022112703939946194,0.015368224418325752,21.7027641166573,609.0057915320365,0.9308844559421628,2.6510590866852213,0.0,0.7783520380560603,0.9017117551387399,0.2921884287362646,-1.2996988913285068,1.11522213613974,0.1892475940021538,0.04219155598905236,5.2575138382629897e-05,0.0002602811035918792,9.017252551542973e-05,0.0010966071603815278,20.825636307609113,645.2027245213243,0.667826538793796,0.5119783500979487,0.0,0.0025790494806413543,0.00022272032022910702,0.01851638872094171,16.57774298418726,355.7006869188117,0.9267074457850966,0.6134585130131119,-4.322776087837941e-20,0.001760599048347785,2.7864785157070595e-06,0.017595332495795903,23.311082407241617,656.0434806221776,0.964679736304084
Fibroblast_Normal_ICAM1+,Normal,Fibroblast,ICAM1+,3729,36882,0.002653054530262172,30187.761858270354,0.8184957935651633,9.890587288817377,9.890587288817377,1828,2249,234,0.7996831613257417,103.02921376662327,17.57310304492036,421.32443370012345,28.1279277250765,2.5853437841141997,0.8184957935651632,22.3831326997304,5.302240684963666,31.748668466168976,0.0001228780365609,0.37898274571823976,22.383130363430922,0.37885986768167884,0.0435704865594934,2.7058639607491966,2090,114,311,77,234,1340,2266,218.33506860177008,180182.01009341303,462,0.12389380530973451,0.8049892703862661,0.0002682403433476395,0.005306109060524344,0.0013412017167381974,0.027636591675596376,17.57310304492035,421.32443370012345,0.7748095005984674,0.49034334763948495,0.0,0.002653054530262172,0.000536480686695279,0.015491660364125984,17.011624116451436,390.7763884709329,0.7924099920238769,0.6032725321888412,0.0,0.002653054530262172,0.000536480686695279,0.018340041304105954,20.70072632249527,553.6089954648883,0.8107659386245529,0.5223103603431553,0.0,0.001984472217687003,0.00022239405981867613,0.01554847474947988,21.185301039334714,581.3115648284418,0.9303767961717637,2.6171308741623847,0.0,0.7045539114747154,0.8430408004514937,0.281083984439444,-1.1449674220312898,0.6899961232785614,0.20150548334541635,0.03993263774686105,5.3416851982539536e-05,0.00026816840976133006,8.910366467472568e-05,0.0010913681802184794,19.707082629880695,572.0452514334431,0.671785097400539,0.5356089755454719,0.0,0.002583913454539683,0.00023117466671119345,0.01822781364259671,17.593761640435616,412.72549794250034,0.9262537599028778,0.5677759163849775,-6.801358169867731e-20,0.002126246790082816,2.698514640502207e-06,0.017753089004925844,19.767421098120206,486.70901319065086,0.959326266368311
Fibroblast_Normal_ICAM1-,Normal,Fibroblast,ICAM1-,3742,38461,0.0027474454636254395,25910.242495731054,0.6736757363493163,10.278193479422768,10.278193479422768,1959,2320,240,0.8148739943975286,107.03101944806396,17.325615390178854,412.27145114098886,28.10976514743462,2.151345933749186,0.6736757363493163,18.6167821775627,5.367205545470655,32.30890328927324,9.08216565325452e-05,0.339610760775835,18.616779840455845,0.33951993911930245,0.0389744902176152,2.273376236557974,2139,100,305,65,240,1363,2318,202.9816979493407,149718.19704510385,442,0.11811865312667023,0.8203688853247795,0.0002673082063619353,0.005494890927250878,0.0013365410318096765,0.02861026983375139,17.32561539017885,412.27145114098914,0.7794488203540354,0.5236567762630313,0.0,0.0027474454636254395,0.0005346164127238706,0.016291162458903063,17.167952333465617,402.6148388937537,0.7972803521975123,0.6201550387596899,0.0,0.0027474454636254395,0.0005346164127238706,0.019020117688277757,20.40024272432007,542.9527027797478,0.8146516247913733,0.5507613000707624,0.0,0.001955088964054317,0.00022449600967455583,0.016300218840178737,22.807566914970764,659.8795597000778,0.9300136501207878,2.7956461181935235,0.0,0.913597249737802,1.0508502898484315,0.3353834939699383,-1.2950180915310234,0.9442611945772459,0.18717707391321825,0.04014865241574376,5.2917043349243366e-05,0.0002672367717797969,8.931658237448484e-05,0.0010768697434686263,19.790868185371316,588.1337657702973,0.6722797157787478,0.5331985623542731,0.0,0.002607815259177049,0.00023064266896523133,0.018850394492521894,17.00963533609605,376.80978475042826,0.9276005823193452,0.6162516629463745,-5.498150624426919e-20,0.0018744415471855702,2.900267444511109e-06,0.01770717858351252,22.597833715437027,625.1982047772502,0.9610835107395357
Fibroblast_Normal_MFAP5+,Normal,Fibroblast,MFAP5+,3717,33600,0.002432601728363528,24460.737028544885,0.7279981258495501,9.03954802259887,9.03954802259887,1827,2235,237,0.7941121915917121,98.56611309673751,19.27588215702133,495.5489815514582,30.72362938058036,2.2976910223115126,0.7279981258495501,18.6087315041259,4.7942144116500955,25.760940695677114,0.0001100362803259,0.166717909901421,18.608729146169196,0.16660787362109508,0.0413891985923086,2.650077005885112,2101,101,313,76,237,1112,2562,127.41945528297296,51773.118313625164,467,0.12563895614743073,0.7989773950484391,0.00026910656620021526,0.004865203456727056,0.0013455328310010763,0.026524788239165095,19.275882157021332,495.54898155145844,0.7586687212549803,0.4916576964477933,0.0,0.002432601728363528,0.0005382131324004305,0.01455176122381428,18.406827388819835,464.9225464349643,0.7777383034192961,0.6014531754574811,0.0,0.002432601728363528,0.0005382131324004305,0.017566645565477105,22.329927526566955,638.4031441835778,0.79586271891054,0.49954632552347883,0.0,0.0020117207121448395,0.00011585224805999396,0.01562618282334396,21.286559967181844,587.8018747634834,0.9312685137252548,2.47421587478235,0.0,0.8289869856768929,0.9615512335873178,0.3119175961297262,-1.3521037621777177,0.9384291295723468,0.18946930213387114,0.0411914010708982,5.384856883145778e-05,0.000269034167339252,9.206344744158614e-05,0.0010994550217658507,20.326594736998935,613.9816298142958,0.6702778279265073,0.5273668633824155,0.0,0.002676826933518341,0.00023158376639087166,0.01856853294990905,16.9367533165743,381.6919262719767,0.9288627135765685,0.6164694283204235,-7.796771809377566e-21,0.001903715653063646,3.1378590034453213e-06,0.01783029094188901,22.528505726186186,626.8936435639724,0.9618518101849415
Fibroblast_Tumor_CD73+,Tumor,Fibroblast,CD73+,3761,31701,0.0022417221540219612,35359.751095017025,1.115414374783667,8.428875299122573,8.428875299122573,1616,1872,250,0.7473782578196156,92.45857656181944,18.705361376543493,462.58414125601456,31.081200006805094,3.317413078045615,1.115414374783667,27.9753824709028,5.268491260273529,30.888256423266146,0.0135108819862209,0.835278535707032,27.975380112269004,0.8217676537208112,0.0795886774880995,3.0158779905158255,2138,115,314,64,250,1340,1887,257.7775375152194,217724.69729387743,501,0.13320925285828236,0.7518617021276596,0.00026595744680851064,0.004483444308043922,0.0013297872340425532,0.0245900469579307,18.705361376543504,462.5841412560147,0.7428394872889227,0.4297872340425532,0.0,0.002241722154021961,0.0005319148936170213,0.013444949449828044,18.397770956788165,430.03749224621527,0.7592560744038657,0.4978723404255319,0.0,0.002241722154021961,0.0005319148936170213,0.015799398025061046,20.667836237230023,511.9982087695662,0.7818396803736348,0.5101575616516566,0.0,0.001977539835717558,5.8016788077408546e-06,0.015537549725842778,20.38095769418106,546.3751781729123,0.9356188987291346,18.382387972894332,0.0,0.6518216167574727,0.7519205919435278,0.37608878150122815,27.490902251985624,1312.8752276092814,0.19223763159060955,0.041882049871643914,5.526945241220439e-05,0.00026588673225206064,9.292529613187597e-05,0.0010961903321679884,20.820800926823257,640.6141500108778,0.6636453908670819,0.5316123947042228,0.0,0.002677931865354372,0.00022661923440480436,0.018646956240183248,16.71637216374731,374.1569224450893,0.9288687086994811,0.6258001092682106,-7.149611547510217e-20,0.0018490570290733675,2.794183575334055e-06,0.0177668802745183,22.616302947879667,631.4528229871134,0.962092113035017
